pt1_cam1_X,pt1_cam1_Y
539.925911,404.774930
541.292998,403.934217
540.836198,402.166258
541.549345,401.988457
539.680440,400.733862
539.256132,402.573363
537.170267,401.837342
534.765120,401.113854
533.562363,400.507748
531.660938,401.132584
530.672490,400.839287
530.461230,401.127122
529.533453,403.231010
529.526587,403.206331
529.982166,401.814299
529.013810,404.198140
530.009911,404.342182
530.168783,404.076545
528.849555,404.192267
529.863632,404.142500
529.863941,404.028850
530.323821,404.297443
529.040964,403.305197
528.209324,403.780730
527.400798,402.337116
526.311879,402.815873
524.948416,402.380171
524.273871,401.134815
524.281560,400.862766
524.025169,400.819236
523.819376,400.955497
523.365098,403.115764
523.337448,402.428547
523.018849,401.389336
523.192488,402.150503
522.805413,402.105667
523.472451,402.360953
523.456442,403.099861
523.587461,403.275412
524.667464,403.824605
523.249379,403.325885
523.391942,403.238812
523.279497,403.097731
522.119180,405.391093
522.055133,403.172008
520.917999,402.447538
520.259720,402.147667
518.506613,402.905067
517.600745,404.775847
516.833561,402.646128
514.586986,400.494037
513.985097,401.255172
512.196529,401.437638
509.854104,401.904947
508.340950,402.075782
506.709324,401.282194
504.907173,401.873699
504.469216,401.111234
502.813228,401.296161
500.854300,402.939861
499.407239,401.274606
498.544486,403.655740
497.292319,402.887738
495.657040,402.974621
494.905310,401.513629
493.265485,400.929865
492.772585,402.200231
492.649794,402.060573
491.948049,402.341297
493.366019,401.306632
492.553475,401.133664
492.752275,401.971093
491.626348,402.026103
491.834632,401.043488
491.428205,400.892202
491.039789,400.441959
490.328174,400.849935
490.635265,400.874722
489.513870,400.812813
488.626892,401.816039
488.923692,400.477672
487.879906,401.808055
488.914145,400.533325
488.171254,401.932675
488.855904,402.208153
489.659390,402.373048
491.325269,400.683367
491.245257,401.696502
491.714443,401.345397
490.852074,402.249161
490.922256,401.859631
490.857874,401.748847
489.488044,401.655776
489.763813,402.225504
489.385329,401.040511
488.559887,400.292829
487.376306,401.029098
487.762012,399.595807
487.720967,400.960120
488.316753,401.074079
490.435911,401.192659
493.070838,400.866337
494.694491,402.104439
497.469752,403.028740
499.884938,402.807654
503.475310,403.111072
505.378422,404.384382
507.312479,403.389732
507.302627,403.344639
508.227992,403.099065
507.582790,403.267864
507.420860,401.266296
500.340328,401.589812
503.687661,401.333567
501.537266,401.341798
498.695578,400.915900
498.000214,401.658428
495.290327,401.234470
492.840637,399.510156
492.433463,400.259518
490.460124,400.475105
491.387546,401.348921
490.921130,401.589151
492.118690,403.474087
493.906554,401.722471
493.633415,403.804023
495.702114,404.160570
496.657375,404.298543
496.964582,404.075959
498.873286,403.414570
498.681493,403.076405
499.827019,402.977153
498.854142,403.428179
499.968628,400.873020
499.493838,401.331123
498.306149,400.927758
498.344289,398.821976
497.689969,399.475365
497.800104,400.094230
498.587425,401.111425
498.153159,400.784880
499.679574,401.204017
500.064594,402.170515
502.084146,402.024044
503.108930,400.739283
505.311349,402.520120
506.355234,403.369677
507.768868,402.708491
509.518081,403.204393
511.082809,404.299536
512.535378,403.206514
513.455833,404.010462
515.118997,404.107305
516.568977,403.800070
518.098390,402.917421
518.603123,402.020956
521.545393,400.315102
522.707759,402.974455
523.536556,401.749320
523.941362,402.243165
525.767935,402.747407
527.100564,401.890932
527.775717,401.083108
528.801611,401.678295
530.148770,402.028288
529.857953,402.171435
